shape,label_noise,n_samples,seed,dataset,data_dim,algorithm,depth,accuracy,coverage,density,f_score,gini_coverage_all_leaves,gini_density_all_leaves,splits,leaves,total_active_feature_count,avg_active_feature_count,alpha,lambda_reg,threshold_value
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,1,0.6934,0.0,,,0.4804305283757339,0.4386679904559065,1,2,3,0.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,2,0.7564,0.7870189171559034,0.575071496663489,0.6645552189479482,0.6296477495107631,0.4868281582924754,3,4,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,3,0.7923,0.7681017612524462,0.6328943832303144,0.6939737733903051,0.7782126549249837,0.5768385640128921,7,8,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,4,0.8352,0.9008480104370516,0.6726741354115928,0.770217512548801,0.8502283105022832,0.6088323697092248,14,15,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,5,0.8491,0.9178082191780822,0.6912306558585114,0.7885666246321984,0.858983319355139,0.5619431293992203,27,28,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,6,0.8902,0.8796477495107632,0.787215411558669,0.8308687615526803,0.8911032123221108,0.5300064937547642,48,49,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,7,0.9086,0.8939986953685584,0.8231231231231231,0.857098186366479,0.9071234528144532,0.5755915069125015,78,79,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,8,0.9151,0.9223744292237442,0.8223320732771154,0.8694850115295927,0.9119318960460896,0.5479455809756113,118,119,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,9,0.9373,0.9253098499673842,0.8769706336939722,0.900491985399143,0.9145822214315362,0.5560427909327332,164,165,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,10,0.9477,0.9377038486627528,0.8964764577486748,0.9166268133269568,0.9165824724282832,0.5541353217385017,214,215,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,11,0.9553,0.9429223744292238,0.9140056907998736,0.9282388826456895,0.9151312158161476,0.5455326033807628,259,260,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,hhcart_d,12,0.9608,0.961839530332681,0.9147022332506204,0.937678855325914,0.9110073870347845,0.539644139156761,295,296,3,3.0,0.0,,
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,1,0.6934,0.0,,,0.4739073711676451,0.4242272488846341,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,2,0.7554,0.9598825831702544,0.5588682111659704,0.7064330292846857,0.630571863448576,0.5898176655351233,2,3,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,3,0.7889,0.9354207436399216,0.5998745032419995,0.7309799923537657,0.6914546640574037,0.5785184866353188,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,4,0.8224,0.9129158512720156,0.6497214484679665,0.7591537835638731,0.7550554468362689,0.5644633546743596,5,6,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,5,0.8477,0.8979125896934116,0.6946757506939187,0.7833262199459382,0.7961150974849605,0.532670252163848,8,9,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,6,0.8448,0.9240052185257664,0.6823217726396917,0.7849819894707676,0.803792749976703,0.5724790104121324,13,14,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,7,0.8987,0.8486627527723418,0.8257695969533482,0.8370596750844458,0.841090218100343,0.574298391300555,22,23,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,8,0.9115,0.8864970645792564,0.8350230414746543,0.8599905078310394,0.8648747170100921,0.5740741815649335,33,34,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,9,0.9263,0.8829093281148076,0.8774716369529983,0.880182084213949,0.8644777850257304,0.5044385247531822,44,45,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,10,0.938,0.8917155903457273,0.9046988749172732,0.8981603153745072,0.9022151927012128,0.5418532589493068,72,73,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,11,0.9505,0.9037834311806916,0.9326825984516998,0.9180056319363924,0.923203540794118,0.5632277241523751,106,107,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,1,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,12,0.9554,0.9210697977821264,0.9326287978863936,0.9268132589432228,0.926607541880057,0.5426324574276871,140,141,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,1,0.6934,0.0,,,0.4732550554468362,0.4236133691620867,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,2,0.7772,0.9178082191780822,0.587473903966597,0.7163951120162932,0.5940421830832789,0.5413760579895384,2,3,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,3,0.8112,0.8998695368558383,0.6357142857142857,0.7450715635970834,0.708936725375082,0.5207471915324351,4,5,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,4,0.8372,0.8979125896934116,0.6767453294001966,0.7717970283151108,0.7761741682974559,0.4906365018051373,7,8,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,5,0.8678,0.7896281800391389,0.7814719173660426,0.7855288773523684,0.7463997190024587,0.4858441540212825,12,13,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,6,0.8572,0.8979125896934116,0.7117373319544984,0.7940582636284972,0.8470616141849019,0.5033697627987039,21,22,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,7,0.9097,0.8750815394651011,0.8376522010615048,0.8559578880204181,0.8857074192330137,0.5326636878056843,37,38,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,8,0.9182,0.8969341161121983,0.8456334563345633,0.870528648306426,0.8777149621898479,0.5246526133118947,53,54,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,9,0.9373,0.8731245923026745,0.9183533447684392,0.8951680321016552,0.9087767527102166,0.5682530813175415,83,84,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,10,0.949,0.8966079582517938,0.934398368456832,0.9151131824234356,0.9086636062695466,0.5369004708984186,106,107,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,11,0.9553,0.913894324853229,0.9386934673366836,0.9261279127416956,0.922500507052136,0.5563052948851761,118,119,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,8,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,12,0.9598,0.9145466405740378,0.9524456521739132,0.9331114808652246,0.9272821199823128,0.5400496953134497,148,149,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,0,0.6934,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,1,0.6934,0.0,,,0.4797782126549248,0.4393409664730234,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,2,0.7715,0.9321591650358774,0.579128672745694,0.714410698662667,0.6079582517938682,0.5591486476823311,2,3,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,3,0.8117,0.9275929549902152,0.6312985571587125,0.7512878087438911,0.7399869536855836,0.5722402860130644,4,5,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,4,0.8117,0.9275929549902152,0.6312985571587125,0.7512878087438911,0.6914546640574037,0.5501853303138087,6,7,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,5,0.8698,0.9083496412263536,0.7317393589069889,0.8105355064027939,0.7707406748502639,0.5440023316766631,10,11,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,6,0.8883,0.8926940639269406,0.7764539007092198,0.8305264754968897,0.8243096325288108,0.5467873032446966,17,18,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,7,0.8911,0.9230267449445532,0.7683953298941081,0.8386427618906505,0.8542195163199728,0.5901744457797711,26,27,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,8,0.911,0.9031311154598826,0.8236168947055325,0.8615432482887369,0.8876153201006434,0.5468275158680982,48,49,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,9,0.9379,0.8812785388127854,0.9131463332206826,0.8969294605809129,0.8997297549156649,0.5450029801318705,69,70,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,10,0.9513,0.8992172211350293,0.9393526405451448,0.9188468588568572,0.9243069907517484,0.5725340037718507,106,107,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,11,0.9572,0.9194390084801044,0.9396666666666668,0.9294427959116388,0.9309578169167207,0.5570227318270315,119,120,3,3.0,,0.0,0.0
radial_segment_3d,0.003,10000,11,radial_segment_3d_fuzziness_003_10000_samples,3,oc1,12,0.9621,0.9253098499673842,0.949782390358219,0.937386419957046,0.9327379803937784,0.5437962103366283,141,142,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,1,0.701,0.0,,,0.4899665551839465,0.4639040499013898,1,2,3,0.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,2,0.764,0.802675585284281,0.5755395683453237,0.670391061452514,0.6463210702341138,0.5308020035935461,3,4,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,3,0.803,0.7792642140468228,0.6401098901098901,0.702865761689291,0.7587195413282373,0.5293629215500388,6,7,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,4,0.837,0.9331103678929766,0.6611374407582938,0.7739251040221914,0.847547380156076,0.6119123431543614,11,12,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,5,0.867,0.7591973244147158,0.7881944444444444,0.7734241908006816,0.8543478260869566,0.6036126639031274,19,20,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,6,0.905,0.8394648829431438,0.8422818791946308,0.8408710217755443,0.8806366047745358,0.645886422905283,28,29,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,7,0.922,0.9565217391304348,0.8148148148148148,0.8800000000000001,0.8749163879598665,0.6271254654736185,34,35,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,8,0.941,0.9364548494983278,0.875,0.9046849757673668,0.8814748348152377,0.6333767589806101,40,41,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,9,0.951,0.9464882943143812,0.8955696202531646,0.9203252032520326,0.8852638045184629,0.6179932879122572,48,49,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,10,0.957,0.9498327759197324,0.9102564102564102,0.9296235679214402,0.8683884553449768,0.6008006842472202,53,54,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,11,0.957,0.9498327759197324,0.9102564102564102,0.9296235679214402,0.8377329192546585,0.5861032107705879,55,56,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,hhcart_d,12,0.966,0.9364548494983278,0.9491525423728814,0.9427609427609428,0.824329686525707,0.5743992286446307,58,59,3,3.0,0.0,,
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4331103678929766,0.3590179873602332,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.82,0.7892976588628763,0.6685552407932012,0.7239263803680982,0.5961538461538463,0.4506056673705076,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.84,0.842809364548495,0.6904109589041096,0.7590361445783133,0.74247491638796,0.560817081653918,6,7,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.86,0.882943143812709,0.7154471544715447,0.7904191616766467,0.6886287625418059,0.5525413167571989,9,10,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.89,0.8461538461538461,0.7981072555205048,0.8214285714285714,0.7498805542283802,0.5770405138853254,13,14,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.917,0.9264214046822744,0.8195266272189349,0.8697017268445841,0.8291129160694379,0.5986930552767351,20,21,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.8561872909698997,0.924187725631769,0.8888888888888888,0.824487421840919,0.6331590654831569,22,23,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.967,0.919732441471572,0.9683098591549296,0.9433962264150944,0.8484194627252128,0.6326415463566721,30,31,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.973,0.94314381270903,0.9657534246575342,0.9543147208121828,0.8755681330932168,0.6151337218729089,38,39,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.967,0.919732441471572,0.9683098591549296,0.9433962264150944,0.855173811695551,0.6002757318824872,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.968,0.9230769230769232,0.968421052631579,0.9452054794520548,0.8535522448565926,0.5634642477141565,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,1,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.97,0.9297658862876256,0.9686411149825784,0.9488054607508534,0.8594304246478162,0.5743698368143575,32,33,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4464882943143813,0.3819714792390267,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.791,0.9063545150501672,0.5995575221238938,0.7217043941411452,0.6730769230769229,0.5725200211479222,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.839,0.8996655518394648,0.6725,0.7696709585121603,0.7419175027870679,0.5501193441603767,5,6,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.86,0.8929765886287625,0.712,0.7922848664688428,0.8324414715719062,0.603879769146096,9,10,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.881,0.919732441471572,0.7432432432432432,0.8221225710014948,0.8762541806020068,0.5912813757205466,14,15,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.884,0.94314381270903,0.7401574803149606,0.8294117647058823,0.8388746803069054,0.6343658021313405,16,17,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.9230769230769232,0.8706624605678234,0.8961038961038961,0.8479933110367892,0.6497546771115068,19,20,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.947,0.9297658862876256,0.896774193548387,0.9129720853858784,0.8725083612040134,0.6330027442501165,24,25,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.954,0.9364548494983278,0.9120521172638436,0.924092409240924,0.8803790412486063,0.5993625082848266,29,30,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.958,0.9163879598662208,0.9415807560137456,0.9288135593220338,0.8683389074693422,0.6050920224939964,29,30,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.965,0.9297658862876256,0.952054794520548,0.9407783417935702,0.8813754180602007,0.6308906349413377,31,32,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,8,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.973,0.9364548494983278,0.9722222222222222,0.9540034071550256,0.886373381356659,0.6039791039783993,38,39,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,0,0.701,0.0,,,0.0,0.0,0,1,0,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,1,0.701,0.0,,,0.4331103678929766,0.3623990427759496,1,2,3,0.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,2,0.82,0.7959866220735786,0.6666666666666666,0.725609756097561,0.6112040133779264,0.517349576341037,3,4,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,3,0.855,0.8695652173913043,0.7103825136612022,0.7819548872180451,0.7109412326803632,0.5299726319785081,6,7,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,4,0.858,0.8896321070234113,0.7093333333333334,0.7893175074183977,0.7461234417756157,0.5693338446815612,10,11,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,5,0.904,0.8060200668896321,0.8637992831541219,0.8339100346020762,0.7451923076923077,0.5938504900160817,15,16,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,6,0.927,0.8862876254180602,0.8717105263157895,0.87893864013267,0.7505016722408027,0.6034442375937581,24,25,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,7,0.936,0.8695652173913043,0.912280701754386,0.8904109589041095,0.8573449961409827,0.6635279229459539,25,26,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,8,0.964,0.9464882943143812,0.933993399339934,0.9401993355481728,0.8730000903913946,0.5899329357218892,36,37,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,9,0.973,0.9531772575250836,0.9563758389261744,0.9547738693467336,0.8674749163879605,0.5657725548254571,39,40,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,10,0.975,0.9665551839464884,0.950657894736842,0.9585406301824212,0.8491001751871317,0.5485894480085858,41,42,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,11,0.978,0.959866220735786,0.9663299663299664,0.9630872483221478,0.8588774174785514,0.5503400930361764,45,46,3,3.0,,0.0,0.0
radial_segment_3d,0.003,1000,11,radial_segment_3d_fuzziness_003_1000_samples,3,oc1,12,0.982,0.9498327759197324,0.989547038327526,0.969283276450512,0.8539334011923803,0.5458668039293613,45,46,3,3.0,,0.0,0.0
